quote,class,good_or_bad
أقوال وحكم عن عمل الخير,اﻹحسان إلىِ الغَيرُ,0
حكمة عن عمل الخير,اﻹحسان إلىِ الغَيرُ,0
إن الأبطال حقا قوم يفعلون الخير في صمت.,اﻹحسان إلىِ الغَيرُ,0
اخرج إلى العالم وكن إنسانا جيدا، والأهم أن تخرج إلى العالم وتفعل الخير.,اﻹحسان إلىِ الغَيرُ,0
لا تنس أنّ الناس يتذكرون دائمًا فعلك للخير وصنيعك الحَسَن.,اﻹحسان إلىِ الغَيرُ,0
اصنع خيرًا لأنه الشيء الوحيد الذي لا يموت حين تغيب أنت.,اﻹحسان إلىِ الغَيرُ,0
خير العمل ما نفع وخير الهدى ما اتبع.,اﻹحسان إلىِ الغَيرُ,0
اعمل الخير لأصدقائك يزيدوك محبة، واعمل الخير لأعدائك ليصبحوا أصدقائك.,اﻹحسان إلىِ الغَيرُ,0
إذا عملت خيراً فاستره، واذا نلت خيراً فانشره.,اﻹحسان إلىِ الغَيرُ,0
تعوّدوا الخير فإن الخير عادة.,اﻹحسان إلىِ الغَيرُ,0
لا يكفي أن تعمل خيراً، بل يجب أن تحسن عمل الخير.,اﻹحسان إلىِ الغَيرُ,0
لا شيء يطلق العظمة الكامنة بداخلنا مثل الرغبة في مساعدة الآخرين وخدمتهم، كن شجاعاً ولا تجعل الخوف من الوقوع في الأخطاء يمنعك من ذلك.,اﻹحسان إلىِ الغَيرُ,0
مد يدك إلى من يسقط.,اﻹحسان إلىِ الغَيرُ,0
يمكنك تحويل الأحداث المؤلمة الى فرصة سعيدة للتعلم أو مساعدة الآخرين.,اﻹحسان إلىِ الغَيرُ,0
لا تجعل خجلك يحرمك من متعــة مساعدة الآخريــن.,اﻹحسان إلىِ الغَيرُ,0
إذا استطعت، قم بمساعدة الآخرين وإن لم تستطع لا تضرهم على الأقل.,اﻹحسان إلىِ الغَيرُ,0
الأصدقاء يجب عليهم مساعدة بعضهم البعض على المثابرة في الطريق إلى حياة أكثر سعادة.,اﻹحسان إلىِ الغَيرُ,0
أصعب شيء أن يطلب إنسان مساعدتك وتكون أنت في أمسّ الحاجة إلى المساعدة.,اﻹحسان إلىِ الغَيرُ,0
الحب هو فرصتنا الوحيدة وسلاحنا الوحيد، وهو الطريق الوحيد الذي يمكننا من خلاله مساعدة بعضنا البعض.,اﻹحسان إلىِ الغَيرُ,0
تملك يدين، واحدة لتساعد بها نفسك، والأخرى لمساعدة الآخرين.,اﻹحسان إلىِ الغَيرُ,0
حكمة عن بر الوالدين قصير,اﻻحترامُ والتوقيرﱡ,0
أقوال عن بر الوالدين,اﻻحترامُ والتوقيرﱡ,0
أسهل الطرق لإرضاء ربك، أرضي والديك.,اﻻحترامُ والتوقيرﱡ,0
اكسب طاعة ابنك بطاعة والديك.,اﻻحترامُ والتوقيرﱡ,0
لا يغلق أمامك باب إلا ومفتاحه ببرّ والديك.,اﻻحترامُ والتوقيرﱡ,0
يا من تحت قدميك جنتي: أعذريني أن قصّرت يوماً.,اﻻحترامُ والتوقيرﱡ,0
كما أعطوك حقك في ضعفك فلا تنس حقهما في ضعفهما.,اﻻحترامُ والتوقيرﱡ,0
برّ الأم والأب طريق لدخول الجنة فإذا أردت أن يبرك أبناؤك فبرّ والديك.,اﻻحترامُ والتوقيرﱡ,0
أظهر التودد لوالديك وحاول إدخال السرور إليهما بكل ما يحبانه منك.,اﻻحترامُ والتوقيرﱡ,0
إن الوالدين أحق الناس بالمعاملة الحسنة.,اﻻحترامُ والتوقيرﱡ,0
إن رضا الله في بر الوالدين.,اﻻحترامُ والتوقيرﱡ,0
تسقط الرجولة إذا ارتفع صوتك على من تعب في تربيتك.,اﻻحترامُ والتوقيرﱡ,0
برّ الوالدين ليس شعارات ترفع إنّما هو تطبيق عملي.,اﻻحترامُ والتوقيرﱡ,0
إذا جعلك والداك أميراً مدللاً في صغرك فاجعلهم ملوكاً في كبرك.,اﻻحترامُ والتوقيرﱡ,0
إن والديك أحسنا إليك في ضعفك وربياك حتّى بلغت أشدك أتقلب لهما ظهرك عند حاجتهما إليك فأحسن إلى من أحسن إليك.,اﻻحترامُ والتوقيرﱡ,0
الأب والأم أهم هدية ونعمة من الله يجب أن نحفظها ونرعاها ونحميها لنردها إلى الله رداً جميلاً.,اﻻحترامُ والتوقيرﱡ,0
أجمل شعور يمكن أن تشعر به هو إسعاد والديك، فحاول دوماً إدخال البهجة والسرور إلى قلبهما.,اﻻحترامُ والتوقيرﱡ,0
إذا أردت أن يحبك الله، فقم بواجبك نحو أهلك واهتم بهما وراعهما وأحسن إليهما.,اﻻحترامُ والتوقيرﱡ,0
ما تفعله مع والديك سوف يفعله معك أبناءك فيما بعد، فما الطريقة التي تحب أن يعاملك بها أولادك في الكبر؟,اﻻحترامُ والتوقيرﱡ,0
برّ الوالدين أن تبذل لهما ما ملكت، وتطيعهما فيما أمراك ما لم يكن معصية.,اﻻحترامُ والتوقيرﱡ,0
حق الوالد أعظم، وبر الوالدة ألزم.,اﻻحترامُ والتوقيرﱡ,0
من وقّر أباه طال عمره، ومن وقّر أمه رأى ما يسرّه، ومن أحدَّ النظر إلى والديه عقهما.,اﻻحترامُ والتوقيرﱡ,0
عانت الأم بحمله أثقالاً كثيرة، ولقيت وقت وضعه مزعجات مثيرة، وبالغت في تربيته، وسهرت في مداراته، وأعرضت عن جميع شهواتها، وقدمته على نفسها في كل حال، وقد ضم الأب إلى التسبب في إيجاده محبته بعد وجوده، وشفقته، وتربيته بالكسب له والإنفاق عليه، والعاقل يعرف حق المحسن، ويجتهد في مكافأته، وجهل الإنسان بحقوق المنعم من أخس صفاته، لا سيما إذا أضاف إلى جحد الحق المقابلة بسوء المنقلب، وليعلم البار بالوالدين أنّه مهما بالغ في برهما لم يف بشكرهما.,اﻻحترامُ والتوقيرﱡ,0
احذروا دعاء الوالدين فإن في دعائهما النماء والانجبار والاستئصال والبوار.,اﻻحترامُ والتوقيرﱡ,0
كن باراً بوالديك، ولا تنتظر حتى تضيع الفرصة، فالشعور بفقدان أحدهما سيجعلك تشعر بالندم.,اﻻحترامُ والتوقيرﱡ,0
إن في طاعة الوالدين سبب في إطالة العمر وسعة في الرزق .,اﻻحترامُ والتوقيرﱡ,0
العيش ماضٍ فأكرم والديك به والأمّ أولى بإكرام وإحسان وحسبها الحمل والإرضاع تدمنه أمران بالفضل نالا كلّ إنسان.,اﻻحترامُ والتوقيرﱡ,0
قلب الأم هوّة عميقة ستجد المغفرة دائما في قاعها.,اﻻحترامُ والتوقيرﱡ,0
لما ماتت أم إِياس بن معاوية بكى عليها، فقيل له في ذلك فقال: كان لي بابان مفتوحان إلى الجنة فأغلق أحدهما.,اﻻحترامُ والتوقيرﱡ,0
كل معصية تؤخر عقوبتها بمشيئة الله إلى يوم القيامة إلا العقوق، فإنه يعجل له في الدنيا، وكما تدين تدان.,اﻻحترامُ والتوقيرﱡ,0
عليك ببرّ الوالدين كليهما وبرّ ذوي القربى وبرّ الأباعدِ ما في الأسى من تفتت الكبدِ مثل أسى والدٍ على ولدِ.,اﻻحترامُ والتوقيرﱡ,0
إن الله تعالى قسّم هذه الحقوق وجعلها مراتب، وأعظم تلك الحقوق الحق العظيم بعد حقّ عبادة الله تعالى وإفراده بالتوحيد، وهو الحقّ الذي ثنّى به سبحانه وما ذكر نبيًّاً من الأنبياء إلاّ وذكر معه هذا الحقّ الذي من أقامه، يكفر الله به السيئات ويرفع الدرجات، ألا وهو الإحسان للوالدين.,اﻻحترامُ والتوقيرﱡ,0
أطِعِ الإِله كما أمر واملأ فؤادك بِالحذر وأطِعِ أباك فإِنّه ربّاك مِن عهدِ الصِّغر.,اﻻحترامُ والتوقيرﱡ,0
لا ينبغي للابن أن يتضجر منهما ولو بكلمة أف بل يجب الخضوع لأمرهما، وخفض الجناح لهما، ومعاملتهما باللطف والتوقير وعدم الترفع عليهما.,اﻻحترامُ والتوقيرﱡ,0
إن من عظم حق الوالدين أن قرن الله حقهما بحقه في كتابه الكريم.,اﻻحترامُ والتوقيرﱡ,0
من حق الوالدين بعد موتهما: الصلاة عليهما، والاستغفار لهما، وإنفاذ عهدهما، وصلة الرحم التي لا توصل إلا بهما، وإكرام صديقهما.,اﻻحترامُ والتوقيرﱡ,0
قال كريم معتوق في حق الأم:,اﻻحترامُ والتوقيرﱡ,0
قال ابن الجوزي في قصيدته زر والديك:,اﻻحترامُ والتوقيرﱡ,0
أقوال وحكم عن بر الوالدين,البِرُ,0
حكم عن بر الوالدين,البِرُ,0
يا من تحت قدميك جنتي: أعذريني أن قصّرت يوماً.,البِرُ,0
أسهل الطرق لإرضاء ربك، ارضاء والديك.,البِرُ,0
تسقط الرجولة إذا إرتفع صوتك على من تعب في تربيتك.,البِرُ,0
برّ الوالدين ليس شعارات ترفع إنما هو تطبيق عملي.,البِرُ,0
إن برّ الوالدين من أحب الأعمال إلى الله.,البِرُ,0
أظهر التودد لوالديك.. وحاول إدخال السرور إليهما بكل ما يحبانه منك.,البِرُ,0
والله.. لو ألنت لها الكلام، وأطعمتها الطعام، لتدخلن الجنة ما اجتنبت الكبائر.,البِرُ,0
قلب الأم هوّة عميقة ستجد المغفرة دائما في قاعها.,البِرُ,0
لا ينبغي لك أن ترفع يديك على والديك.,البِرُ,0
برّ الوالدين أن تبذل لهما ما ملكت، وتطيعهما فيما أمراك ما لم يكن معصية.,البِرُ,0
لما ماتت أم إِياس بن معاوية بكى عليها، فقيل له في ذلك فقال: كان لي بابان مفتوحان إلى الجنة فأغلق أحدهما.,البِرُ,0
العيش ماضٍ فأكرِم والِديك بِهِ.. والأمّ أولى بِإِكرامٍ وإِحسانِ.. وحسبها الحمل والإِرضاع تدمِنه.. أمرانِ بِالفضلِ نالا كلّ إِنسانِ.,البِرُ,0
إكسب طاعة إبنك بطاعة والديك، لا يغلق أمامك باب إلا ومفتاحه ببرّ والديك.,البِرُ,0
ما من مؤمن له أبوان فيصبح ويمسي وهو محسن إليهما إلا فتح الله له بابين من الجنة.,البِرُ,0
إن الله ليعجل هلاك العبد إذا كان عاقاً لوالديه، وإن الله ليزيد في عمر العبد إذا كان باراً ليزيد براً وخيراً.,البِرُ,0
الوالدان زهرتان تفوحان بالبرّ وتذبلان بالعقوق فإختر لوالديك.,البِرُ,0
إن رجلاً من أهل اليمن حمل أمه على عنقه، فجعل يطوف بها حول البيت، وهو يقول: إني لها بعيرها المدلل إذا ذعرت ركابها لم أذعر وما حملتني أكثر ثم قال لابن عمر: أتراني جزيتها.. فقال ابن عمر رضي الله عنهما: لا، ولا بزفرة واحدة من زفرات الولادة.,البِرُ,0
الأمّ مدرسةٌ إِذا أعددتها.. أعددت شعباً طيِّب الأعراقِ.. الأمّ روضٌ إِن تعهّده الحيا.. بِالرِّيِّ أورق أيّما إِيراقِ.. الأمّ أستاذ الأساتِذةِ الألى.. شغلت ماثِرهم مدى الآفاقِ.,البِرُ,0
كان علي بن أبي طالب رضي الله عنه يقول: احذروا دعاء الوالدين.. فإن في دعائهما النماء والإنجبار والإستئصال والبوار.,البِرُ,0
من حق الوالدين بعد موتهما: الصلاة عليهما، والإستغفار لهما، وإنفاذ عهدهما، وصلة الرحم التي لا توصل إلا بهما، وإكرام صديقهما.,البِرُ,0
سألوني: أيهما أجمل.. أمك أم القمر.. قلت لهم: إذا رأيت القمر تذكرت أمي.. وإذا رأيت أمي نسيت القمر.,البِرُ,0
إن والديك أحسناً إليك في ضعفك وربياك حتى بلغت أشدك.. أتقلب لهما ظهر المجن عند حاجتهما إليك.. فأحسن إلى من أحسن إليك.,البِرُ,0
أيها الابن.. الوالدان بابان - للخير- مفتوحان أمامك فاغتنم الفرصة قبل أن يغلقا.. واعلم أنك مهما فعلت من أنواع ال برّ بوالديك، فلن ترد شيئا من جميلهما عليك.,البِرُ,0
إن من عظم حق الوالدين أن قرن الله حقهما بحقه في كتابه الكريم، وعلى لسان رسوله صلى الله عليه وسلم.. فالله له نعمة الخلق والإيجاد، والوالدين لهما بعد الله نعمة التربية والإيلاد.,البِرُ,0
بني.. إن لم تبرني بعد كهولتي فمتى يكون برك لي.. بني.. تذكر أن أولادك سيكونون لك كمثلك لي.. وكما تدين تدان.,البِرُ,0
من قال أفٍ فقد عق والديه.. فكيف بمن قال أعظم من ذلك.. وكيف بمن قاطعهما أو أساء إليهما.,البِرُ,0
إذا جعلك والديك أميراً مدللاً في صِغرك.. فإجعلهم ملوكاً في كِبرك.,البِرُ,0
عن الزهري، قال: كان الحسن بن علي لا يأكل مع أمه، وكان أبرّ الناس بها، فقيل له في ذلك، فقال: (أخاف أن آكل معها، فتسبق عينها إلى شيء من الطعام وأنا لا أدري، فآكله، فأكون قد عققتها).,البِرُ,0
كما أعطوك حقك في ضعفك فلا تنس حقهما في ضعفهما.,البِرُ,0
برّ الأم والأب طريق للدخول الجنة.. إذا تريد أن يبرك أبنائك فبرّ والديك.,البِرُ,0
كل معصية تؤخر عقوبتها بمشيئة الله إلى يوم القيامة إلا العقوق، فإنه يعجل له في الدنيا، وكما تدين تدان.,البِرُ,0
عن محمد بن سيرين، قال: (من مشى بين يدي أبيه فقد عقه، إلا أن يمشي يميط الأذى عن طريقه.ومن دعا أباه باسمه فقد عقه، إلا أن يقول: يا أبت).,البِرُ,0
لا ينبغي للإبن أن يتضجر منهما ولو بكلمة أف.. بل يجب الخضوع لأمرهما، وخفض الجناح لهما، ومعاملتها باللطف والتوقير وعدم الترفع عليهما.,البِرُ,0
عليك ببرّ الوالدين كليهما.. وبرّ ذوي القربى وبرّ الأباعدِ.. ما في الأسى من تفتت الكبدِ.. مثل أسى والدٍ على ولدِ.,البِرُ,0
واخضع لأمِّك وارضِها فعقوقها إِحدى الكِبر.,البِرُ,0
أطِعِ الإِله كما أمر وإملأ فؤادك بِالحذر.. وأطِعِ أباك فإِنّه ربّاك مِن عهدِ الصِّغر.,البِرُ,0
إن الله تعالى قسّم هذه الحقوق وجعلها مراتب، وأعظم تلك الحقوق الحق العظيم بعد حقّ عبادة الله تعالى وإفراده بالتوحيد، وهو الحقّ الذي ثنّى به سبحانه وما ذكر نبيًّاً من الأنبياء إلاّ وذكر معه هذا الحقّ الذي من أقامه، يكفر الله به السيئات ويرفع الدرجات، ألا وهو الإحسان للوالدين.,البِرُ,0
حكمة عن بر الوالدين قصير,البِرُ,0
أقوال عن بر الوالدين,البِرُ,0
أسهل الطرق لإرضاء ربك، أرضي والديك.,البِرُ,0
اكسب طاعة ابنك بطاعة والديك.,البِرُ,0
لا يغلق أمامك باب إلا ومفتاحه ببرّ والديك.,البِرُ,0
