,quote,class,good_or_bad
0,قول حكم عمل خير,اﻹحسان إلىِ الغَيرُ,0
1,حكم عمل خير,اﻹحسان إلىِ الغَيرُ,0
2,بطل قوم خير صمت,اﻹحسان إلىِ الغَيرُ,0
3,خرج علم وكن انس جيد اهم خرج علم فعل خير,اﻹحسان إلىِ الغَيرُ,0
4,تنس ناس ذكر دئم فعل خير صنع الح,اﻹحسان إلىِ الغَيرُ,0
5,صنع خير لأن شيء وحد يمت تغب,اﻹحسان إلىِ الغَيرُ,0
6,خير عمل نفع وخر هدى تبع,اﻹحسان إلىِ الغَيرُ,0
7,عمل خير لأصدقائك زيدو حبة عمل خير أعدائ صبح صدقائ,اﻹحسان إلىِ الغَيرُ,0
8,عمل خير ستر وذا نلت خير نشر,اﻹحسان إلىِ الغَيرُ,0
9,تعو دوا خير خير عدة,اﻹحسان إلىِ الغَيرُ,0
10,يكف عمل خير يجب تحس عمل خير,اﻹحسان إلىِ الغَيرُ,0
11,شيء طلق عظم كمن دخل رغب سعد اخر خدم شجع جعل خوف وقع خطء منع,اﻹحسان إلىِ الغَيرُ,0
12,مد يدك سقط,اﻹحسان إلىِ الغَيرُ,0
13,يمك حول حدث ؤلم الى فرص سعد علم سعد اخر,اﻹحسان إلىِ الغَيرُ,0
14,جعل خجل حرم تعــ سعد خريــ,اﻹحسان إلىِ الغَيرُ,0
15,طعت قم سعد اخر سطع تضر اقل,اﻹحسان إلىِ الغَيرُ,0
16,صدقاء يجب علي سعد بعض بعض ثبر طرق حية سعد,اﻹحسان إلىِ الغَيرُ,0
17,صعب شيء طلب انس سعد وتك حجة سعد,اﻹحسان إلىِ الغَيرُ,0
18,لحب فرص وحد سلح وحد طرق وحد يمك خلل سعد بعض بعض,اﻹحسان إلىِ الغَيرُ,0
19,تمل يدن وحد سعد نفس خرى سعد اخر,اﻹحسان إلىِ الغَيرُ,0
20,حكم بر ولد قصر,اﻻحترامُ والتوقيرﱡ,0
21,قول بر ولد,اﻻحترامُ والتوقيرﱡ,0
22,سهل طرق إرضاء ربك ارض ديك,اﻻحترامُ والتوقيرﱡ,0
23,كسب طعة ابن بطع ديك,اﻻحترامُ والتوقيرﱡ,0
24,غلق باب فتح ببر ديك,اﻻحترامُ والتوقيرﱡ,0
25,قدم جنت عذر قص رت يوم,اﻻحترامُ والتوقيرﱡ,0
26,عطو حقك ضعف تنس حقه ضعف,اﻻحترامُ والتوقيرﱡ,0
27,بر لأم لأب طرق دخل جنة ارد يبر بنؤ فبر ديك,اﻻحترامُ والتوقيرﱡ,0
28,ظهر ودد للد حول دخل سرر اله بكل يحب منك,اﻻحترامُ والتوقيرﱡ,0
29,ولد احق ناس عمل حسن,اﻻحترامُ والتوقيرﱡ,0
30,رضا الل بر ولد,اﻻحترامُ والتوقيرﱡ,0
31,سقط رجل رفع صوت تعب ربت,اﻻحترامُ والتوقيرﱡ,0
32,بر ولد شعر رفع طبق عمل,اﻻحترامُ والتوقيرﱡ,0
33,جعل داك امر دلل صغر جعل لوك كبر,اﻻحترامُ والتوقيرﱡ,0
34,ديك احس ضعف ورب حت بلغ اشد قلب ظهر حجت أحس احس,اﻻحترامُ والتوقيرﱡ,0
35,لأب لأم اهم هدة نعم الل يجب حفظ نرع نحم نرد الل ردا جمل,اﻻحترامُ والتوقيرﱡ,0
36,جمل شعر يمكن شعر سعد ديك حول دوم دخل بهج سرر قلب,اﻻحترامُ والتوقيرﱡ,0
37,ارد يحب الل فقم بجب اهل واه ورع أحس اله,اﻻحترامُ والتوقيرﱡ,0
38,فعل ديك فعل معك بنء فما طرق تحب عمل ولد كبر,اﻻحترامُ والتوقيرﱡ,0
39,بر ولد بذل لكت تطع مرك يكن عصة,اﻻحترامُ والتوقيرﱡ,0
40,حق ولد عظم وبر ولد لزم,اﻻحترامُ والتوقيرﱡ,0
41,وق ابه طال عمر وق امه يسر نظر ديه عقه,اﻻحترامُ والتوقيرﱡ,0
42,عنت لأم حمل ثقل كثر ولق وقت وضع زعج ثير بلغ ربت سهر درا أعرض شها قدم نفس حال وقد ضم لأب سبب يجد حبت وجد شفق ترب كسب فاق عقل عرف حق حسن جهد كفأ جهل انس حقق نعم اخس صفت سيم اضف جحد لحق قبل بسء قلب علم بار ولد بلغ بره يف شكر,اﻻحترامُ والتوقيرﱡ,0
